Protein A,Protein B,UniProtID A,UniProtID B,PDBID A,PDBID B
YWHAZ,TP53,P63104,Q12888,"1IB1, 1QJA, 1QJB, 2C1J, 2C1N, 2O02, 2WH0, 3CU8, 3NKX, 3RDH, 4BG6, 4FJ3, 4HKC, 4IHL, 4N7G, 4N7Y, 4N84, 4WRQ, 4ZDR, 5D2D, 5D3F, 5EWZ, 5EXA, 5J31, 5JM4, 5M35, 5M36, 5M37, 5NAS, 5ULO, 5WXN, 5XY9, 6EF5, 6EJL, 6EWW, 6F08, 6F09, 6FN9, 6FNA, 6FNB, 6FNC, 6Q0K, 6RLZ, 6U2H, 6XAG, 6YMO, 6YO8, 6YOS, 6ZFD, 6ZFG, 7D8H, 7D8P, 7D9V, 7MFD, 7MFE, 7MFF, 7Q16, 7ZIT, 8A9G, 8AH2, 8P1H, 8QDV, 8WE2, 8WF6, 9FUM, 9FVL","1GZH, 1KZY, 1XNI, 2G3R, 2IG0, 2LVM, 2MWO, 2MWP, 3LGF, 3LGL, 3LH0, 4CRI, 4RG2, 4X34, 5ECG, 5J26, 5KGF, 5Z78, 5ZCJ, 6CO1, 6CO2, 6IU7, 6IUA, 6MXX, 6MXY, 6MXZ, 6MY0, 6RML, 6RMM, 6UPT, 6VA5, 6VIP, 7LIN, 7LIO, 7YQK, 8EOM, 8F0W, 8HKW, 8SVG, 8SVH, 8SVI, 8SVJ, 8SWJ, 8T2D, 8U4U"
SDHAF1,SDHB,A6NFY7,O44074,No 3D Structure,"3VR8, 3VR9, 3VRA, 3VRB, 4YSX, 4YSY, 4YSZ, 4YT0, 4YTM, 4YTN, 5C2T, 5C3J"
HNRNPA1,HNRNPU,P09651,Q8VEK3,"1HA1, 1L3K, 1PGZ, 1PO6, 1U1K, 1U1L, 1U1M, 1U1N, 1U1O, 1U1P, 1U1Q, 1U1R, 1UP1, 2H4M, 2LYV, 2UP1, 4YOE, 5MPG, 5MPL, 5ZGD, 5ZGL, 6BXX, 6DCL, 6J60, 7BX7, 7ZJ2, 8IK7, 8IKB, 8IKP, 8IKS, 8RZV, 8X0N, 9F1S, 9F4D, 9F4G, 9F4H, 9F4J, 9F4K, 9F4L, 9F4N, 9F4O, 9F4P, 9F4Q, 9F4R, 9F4S, 9F4T, 9F4U, 9F4V, 9F4W, 9F4X, 9F4Y, 9F4Z, 9F50, 9F51, 9F52, 9F53, 9F54, 9F55, 9F5C, 9F5D, 9F5E, 9F5F, 9F5G, 9F5K, 9F7F, 9F7H, 9GEA, 9GPJ, 9HQ9, 9HQJ, 9HQL",No 3D Structure
SDHA,NDUFS3,P31040,O75489,"6VAX, 8DYD, 8DYE, 8GS8","5XTB, 5XTD, 5XTH, 5XTI"
MRPL13,MRPL30,Q9BYD1,Q8TCC3,"3J7Y, 3J9M, 5OOL, 5OOM, 6I9R, 6NU2, 6NU3, 6VLZ, 6VMI, 6ZM5, 6ZM6, 6ZS9, 6ZSA, 6ZSB, 6ZSC, 6ZSD, 6ZSE, 6ZSG, 7A5F, 7A5G, 7A5H, 7A5I, 7A5J, 7A5K, 7L08, 7L20, 7O9K, 7O9M, 7ODR, 7ODS, 7ODT, 7OF0, 7OF2, 7OF3, 7OF4, 7OF5, 7OF6, 7OF7, 7OG4, 7OI6, 7OI7, 7OI8, 7OI9, 7OIA, 7OIB, 7OIC, 7OID, 7OIE, 7PD3, 7PO4, 7QH6, 7QH7, 7QI4, 7QI5, 7QI6, 8ANY, 8K2A, 8K2B, 8OIR, 8OIT, 8PK0, 8QSJ, 8QU1, 8QU5, 8XT0, 8XT1, 8XT2, 8XT3","3J7Y, 3J9M, 5OOL, 5OOM, 6I9R, 6NU2, 6NU3, 6VLZ, 6VMI, 6ZM5, 6ZM6, 6ZS9, 6ZSA, 6ZSB, 6ZSC, 6ZSD, 6ZSE, 6ZSG, 7A5F, 7A5G, 7A5H, 7A5I, 7A5J, 7A5K, 7L08, 7L20, 7O9K, 7O9M, 7ODR, 7ODS, 7ODT, 7OF0, 7OF2, 7OF3, 7OF4, 7OF5, 7OF6, 7OF7, 7OG4, 7OI6, 7OI7, 7OI8, 7OI9, 7OIA, 7OIB, 7OIC, 7OID, 7OIE, 7PD3, 7PO4, 7QH6, 7QH7, 7QI4, 7QI5, 7QI6, 8ANY, 8K2A, 8K2B, 8OIR, 8OIT, 8PK0, 8QSJ, 8QU1, 8QU5, 8XT0, 8XT1, 8XT2, 8XT3"
MRPL2,MRPS11,Q5T653,P82912,"3J7Y, 3J9M, 5OOL, 5OOM, 6I9R, 6NU2, 6NU3, 6VLZ, 6VMI, 6ZM5, 6ZM6, 6ZS9, 6ZSA, 6ZSB, 6ZSC, 6ZSD, 6ZSE, 6ZSG, 7A5F, 7A5G, 7A5H, 7A5I, 7A5J, 7A5K, 7L08, 7L20, 7O9K, 7O9M, 7ODR, 7ODS, 7ODT, 7OF0, 7OF2, 7OF3, 7OF4, 7OF5, 7OF6, 7OF7, 7OG4, 7OI6, 7OI7, 7OI8, 7OI9, 7OIA, 7OIB, 7OIC, 7OID, 7OIE, 7PD3, 7PO4, 7QH6, 7QH7, 7QI4, 7QI5, 7QI6, 8ANY, 8K2A, 8K2B, 8OIR, 8OIT, 8PK0, 8QSJ, 8QU1, 8QU5, 8XT0, 8XT1, 8XT2, 8XT3","3J9M, 6NU2, 6NU3, 6RW4, 6RW5, 6VLZ, 6VMI, 6ZM5, 6ZM6, 6ZS9, 6ZSA, 6ZSB, 6ZSC, 6ZSD, 6ZSE, 6ZSG, 7A5F, 7A5G, 7A5I, 7A5K, 7L08, 7OG4, 7P2E, 7PNX, 7PNY, 7PNZ, 7PO0, 7PO1, 7PO2, 7PO3, 7QI4, 7QI5, 7QI6, 8ANY, 8CSR, 8CSS, 8CST, 8CSU, 8K2A, 8OIR, 8OIS, 8QRK, 8QRL, 8QRM, 8QRN, 8XT0, 8XT2"
MRPL2,MRPS2,Q5T653,Q9Y399,"3J7Y, 3J9M, 5OOL, 5OOM, 6I9R, 6NU2, 6NU3, 6VLZ, 6VMI, 6ZM5, 6ZM6, 6ZS9, 6ZSA, 6ZSB, 6ZSC, 6ZSD, 6ZSE, 6ZSG, 7A5F, 7A5G, 7A5H, 7A5I, 7A5J, 7A5K, 7L08, 7L20, 7O9K, 7O9M, 7ODR, 7ODS, 7ODT, 7OF0, 7OF2, 7OF3, 7OF4, 7OF5, 7OF6, 7OF7, 7OG4, 7OI6, 7OI7, 7OI8, 7OI9, 7OIA, 7OIB, 7OIC, 7OID, 7OIE, 7PD3, 7PO4, 7QH6, 7QH7, 7QI4, 7QI5, 7QI6, 8ANY, 8K2A, 8K2B, 8OIR, 8OIT, 8PK0, 8QSJ, 8QU1, 8QU5, 8XT0, 8XT1, 8XT2, 8XT3","3J9M, 6NU2, 6NU3, 6RW4, 6RW5, 6VLZ, 6VMI, 6ZM5, 6ZM6, 6ZS9, 6ZSA, 6ZSB, 6ZSC, 6ZSD, 6ZSE, 6ZSG, 7A5F, 7A5G, 7A5I, 7A5K, 7L08, 7OG4, 7P2E, 7PNX, 7PNY, 7PNZ, 7PO0, 7PO1, 7PO2, 7PO3, 7QI4, 7QI5, 7QI6, 8ANY, 8CSP, 8CSQ, 8CSR, 8CSS, 8CST, 8CSU, 8K2A, 8OIR, 8OIS, 8QRK, 8QRL, 8QRM, 8QRN, 8XT0, 8XT2"
MRPL30,MRPL19,Q8TCC3,P49406,"3J7Y, 3J9M, 5OOL, 5OOM, 6I9R, 6NU2, 6NU3, 6VLZ, 6VMI, 6ZM5, 6ZM6, 6ZS9, 6ZSA, 6ZSB, 6ZSC, 6ZSD, 6ZSE, 6ZSG, 7A5F, 7A5G, 7A5H, 7A5I, 7A5J, 7A5K, 7L08, 7L20, 7O9K, 7O9M, 7ODR, 7ODS, 7ODT, 7OF0, 7OF2, 7OF3, 7OF4, 7OF5, 7OF6, 7OF7, 7OG4, 7OI6, 7OI7, 7OI8, 7OI9, 7OIA, 7OIB, 7OIC, 7OID, 7OIE, 7PD3, 7PO4, 7QH6, 7QH7, 7QI4, 7QI5, 7QI6, 8ANY, 8K2A, 8K2B, 8OIR, 8OIT, 8PK0, 8QSJ, 8QU1, 8QU5, 8XT0, 8XT1, 8XT2, 8XT3","3J7Y, 3J9M, 5OOL, 5OOM, 6I9R, 6NU2, 6NU3, 6VLZ, 6VMI, 6ZM5, 6ZM6, 6ZS9, 6ZSA, 6ZSB, 6ZSC, 6ZSD, 6ZSE, 6ZSG, 7A5F, 7A5G, 7A5H, 7A5I, 7A5J, 7A5K, 7L08, 7L20, 7O9K, 7O9M, 7ODR, 7ODS, 7ODT, 7OF0, 7OF2, 7OF3, 7OF4, 7OF5, 7OF6, 7OF7, 7OG4, 7OI6, 7OI7, 7OI8, 7OI9, 7OIA, 7OIB, 7OIC, 7OID, 7OIE, 7PD3, 7PO4, 7QH6, 7QH7, 7QI4, 7QI5, 7QI6, 8ANY, 8K2A, 8K2B, 8OIR, 8OIS, 8OIT, 8PK0, 8QSJ, 8QU1, 8QU5, 8XT0, 8XT1, 8XT2, 8XT3"
DHX9,HNRNPC,Q5R874,P07910,No 3D Structure,"1TXP, 1WF2, 2MXY, 2MZ1, 3LN4"
MRPL30,MRPL40,Q8TCC3,Q9NQ50,"3J7Y, 3J9M, 5OOL, 5OOM, 6I9R, 6NU2, 6NU3, 6VLZ, 6VMI, 6ZM5, 6ZM6, 6ZS9, 6ZSA, 6ZSB, 6ZSC, 6ZSD, 6ZSE, 6ZSG, 7A5F, 7A5G, 7A5H, 7A5I, 7A5J, 7A5K, 7L08, 7L20, 7O9K, 7O9M, 7ODR, 7ODS, 7ODT, 7OF0, 7OF2, 7OF3, 7OF4, 7OF5, 7OF6, 7OF7, 7OG4, 7OI6, 7OI7, 7OI8, 7OI9, 7OIA, 7OIB, 7OIC, 7OID, 7OIE, 7PD3, 7PO4, 7QH6, 7QH7, 7QI4, 7QI5, 7QI6, 8ANY, 8K2A, 8K2B, 8OIR, 8OIT, 8PK0, 8QSJ, 8QU1, 8QU5, 8XT0, 8XT1, 8XT2, 8XT3","3J7Y, 3J9M, 5OOL, 5OOM, 6I9R, 6NU2, 6NU3, 6VLZ, 6VMI, 6ZM5, 6ZM6, 6ZS9, 6ZSA, 6ZSB, 6ZSC, 6ZSD, 6ZSE, 6ZSG, 7A5F, 7A5G, 7A5H, 7A5I, 7A5J, 7A5K, 7L08, 7L20, 7O9K, 7O9M, 7ODR, 7ODS, 7ODT, 7OF0, 7OF2, 7OF3, 7OF4, 7OF5, 7OF6, 7OF7, 7OG4, 7OI7, 7OI8, 7OI9, 7OIA, 7OIB, 7OIC, 7OID, 7OIE, 7PD3, 7PO4, 7QI4, 7QI5, 7QI6, 8ANY, 8K2A, 8K2B, 8OIR, 8OIT, 8PK0, 8QSJ, 8QU5, 8XT0, 8XT1, 8XT2, 8XT3"
MRPS12,MRPL40,O15235,Q9NQ50,"3J9M, 6NU2, 6NU3, 6RW4, 6RW5, 6VLZ, 6VMI, 6ZM5, 6ZM6, 6ZS9, 6ZSA, 6ZSB, 6ZSC, 6ZSD, 6ZSE, 6ZSG, 7A5F, 7A5G, 7A5I, 7A5K, 7L08, 7OG4, 7P2E, 7PNX, 7PNY, 7PNZ, 7PO0, 7PO1, 7PO2, 7PO3, 7QI4, 7QI5, 7QI6, 8ANY, 8CSP, 8CSQ, 8CSR, 8CSS, 8CST, 8CSU, 8K2A, 8OIR, 8OIS, 8QRK, 8QRL, 8QRM, 8QRN, 8XT0, 8XT2","3J7Y, 3J9M, 5OOL, 5OOM, 6I9R, 6NU2, 6NU3, 6VLZ, 6VMI, 6ZM5, 6ZM6, 6ZS9, 6ZSA, 6ZSB, 6ZSC, 6ZSD, 6ZSE, 6ZSG, 7A5F, 7A5G, 7A5H, 7A5I, 7A5J, 7A5K, 7L08, 7L20, 7O9K, 7O9M, 7ODR, 7ODS, 7ODT, 7OF0, 7OF2, 7OF3, 7OF4, 7OF5, 7OF6, 7OF7, 7OG4, 7OI7, 7OI8, 7OI9, 7OIA, 7OIB, 7OIC, 7OID, 7OIE, 7PD3, 7PO4, 7QI4, 7QI5, 7QI6, 8ANY, 8K2A, 8K2B, 8OIR, 8OIT, 8PK0, 8QSJ, 8QU5, 8XT0, 8XT1, 8XT2, 8XT3"
MRPL43,MRPS11,Q8N983,P82912,"3J7Y, 3J9M, 5OOL, 5OOM, 6I9R, 6NU2, 6NU3, 6VLZ, 6VMI, 6ZM5, 6ZM6, 6ZS9, 6ZSA, 6ZSB, 6ZSC, 6ZSD, 6ZSE, 6ZSG, 7A5F, 7A5G, 7A5H, 7A5I, 7A5J, 7A5K, 7L08, 7L20, 7O9K, 7O9M, 7ODR, 7ODS, 7ODT, 7OF0, 7OF2, 7OF3, 7OF4, 7OF5, 7OF6, 7OF7, 7OG4, 7OI6, 7OI7, 7OI8, 7OI9, 7OIA, 7OIB, 7OIC, 7OID, 7OIE, 7PD3, 7PO4, 7QH6, 7QH7, 7QI4, 7QI5, 7QI6, 8ANY, 8K2A, 8K2B, 8OIR, 8OIT, 8PK0, 8QSJ, 8QU5, 8XT0, 8XT1, 8XT2, 8XT3","3J9M, 6NU2, 6NU3, 6RW4, 6RW5, 6VLZ, 6VMI, 6ZM5, 6ZM6, 6ZS9, 6ZSA, 6ZSB, 6ZSC, 6ZSD, 6ZSE, 6ZSG, 7A5F, 7A5G, 7A5I, 7A5K, 7L08, 7OG4, 7P2E, 7PNX, 7PNY, 7PNZ, 7PO0, 7PO1, 7PO2, 7PO3, 7QI4, 7QI5, 7QI6, 8ANY, 8CSR, 8CSS, 8CST, 8CSU, 8K2A, 8OIR, 8OIS, 8QRK, 8QRL, 8QRM, 8QRN, 8XT0, 8XT2"
MRPL2,DAP3,Q5T653,P51398,"3J7Y, 3J9M, 5OOL, 5OOM, 6I9R, 6NU2, 6NU3, 6VLZ, 6VMI, 6ZM5, 6ZM6, 6ZS9, 6ZSA, 6ZSB, 6ZSC, 6ZSD, 6ZSE, 6ZSG, 7A5F, 7A5G, 7A5H, 7A5I, 7A5J, 7A5K, 7L08, 7L20, 7O9K, 7O9M, 7ODR, 7ODS, 7ODT, 7OF0, 7OF2, 7OF3, 7OF4, 7OF5, 7OF6, 7OF7, 7OG4, 7OI6, 7OI7, 7OI8, 7OI9, 7OIA, 7OIB, 7OIC, 7OID, 7OIE, 7PD3, 7PO4, 7QH6, 7QH7, 7QI4, 7QI5, 7QI6, 8ANY, 8K2A, 8K2B, 8OIR, 8OIT, 8PK0, 8QSJ, 8QU1, 8QU5, 8XT0, 8XT1, 8XT2, 8XT3","3J9M, 6NU2, 6NU3, 6RW4, 6RW5, 6VLZ, 6VMI, 6ZM5, 6ZM6, 6ZS9, 6ZSA, 6ZSB, 6ZSC, 6ZSD, 6ZSE, 6ZSG, 7A5F, 7A5G, 7A5I, 7A5K, 7L08, 7OG4, 7P2E, 7PNX, 7PNY, 7PNZ, 7PO0, 7PO1, 7PO2, 7PO3, 7QI4, 7QI5, 7QI6, 8ANY, 8CSP, 8CSQ, 8CSR, 8CSS, 8CST, 8CSU, 8K2A, 8OIR, 8OIS, 8QRK, 8QRL, 8QRM, 8QRN, 8XT0, 8XT2"
MRPL40,MRPL43,Q9NQ50,Q8N983,"3J7Y, 3J9M, 5OOL, 5OOM, 6I9R, 6NU2, 6NU3, 6VLZ, 6VMI, 6ZM5, 6ZM6, 6ZS9, 6ZSA, 6ZSB, 6ZSC, 6ZSD, 6ZSE, 6ZSG, 7A5F, 7A5G, 7A5H, 7A5I, 7A5J, 7A5K, 7L08, 7L20, 7O9K, 7O9M, 7ODR, 7ODS, 7ODT, 7OF0, 7OF2, 7OF3, 7OF4, 7OF5, 7OF6, 7OF7, 7OG4, 7OI7, 7OI8, 7OI9, 7OIA, 7OIB, 7OIC, 7OID, 7OIE, 7PD3, 7PO4, 7QI4, 7QI5, 7QI6, 8ANY, 8K2A, 8K2B, 8OIR, 8OIT, 8PK0, 8QSJ, 8QU5, 8XT0, 8XT1, 8XT2, 8XT3","3J7Y, 3J9M, 5OOL, 5OOM, 6I9R, 6NU2, 6NU3, 6VLZ, 6VMI, 6ZM5, 6ZM6, 6ZS9, 6ZSA, 6ZSB, 6ZSC, 6ZSD, 6ZSE, 6ZSG, 7A5F, 7A5G, 7A5H, 7A5I, 7A5J, 7A5K, 7L08, 7L20, 7O9K, 7O9M, 7ODR, 7ODS, 7ODT, 7OF0, 7OF2, 7OF3, 7OF4, 7OF5, 7OF6, 7OF7, 7OG4, 7OI6, 7OI7, 7OI8, 7OI9, 7OIA, 7OIB, 7OIC, 7OID, 7OIE, 7PD3, 7PO4, 7QH6, 7QH7, 7QI4, 7QI5, 7QI6, 8ANY, 8K2A, 8K2B, 8OIR, 8OIT, 8PK0, 8QSJ, 8QU5, 8XT0, 8XT1, 8XT2, 8XT3"
MRPS12,MRPL43,O15235,Q8N983,"3J9M, 6NU2, 6NU3, 6RW4, 6RW5, 6VLZ, 6VMI, 6ZM5, 6ZM6, 6ZS9, 6ZSA, 6ZSB, 6ZSC, 6ZSD, 6ZSE, 6ZSG, 7A5F, 7A5G, 7A5I, 7A5K, 7L08, 7OG4, 7P2E, 7PNX, 7PNY, 7PNZ, 7PO0, 7PO1, 7PO2, 7PO3, 7QI4, 7QI5, 7QI6, 8ANY, 8CSP, 8CSQ, 8CSR, 8CSS, 8CST, 8CSU, 8K2A, 8OIR, 8OIS, 8QRK, 8QRL, 8QRM, 8QRN, 8XT0, 8XT2","3J7Y, 3J9M, 5OOL, 5OOM, 6I9R, 6NU2, 6NU3, 6VLZ, 6VMI, 6ZM5, 6ZM6, 6ZS9, 6ZSA, 6ZSB, 6ZSC, 6ZSD, 6ZSE, 6ZSG, 7A5F, 7A5G, 7A5H, 7A5I, 7A5J, 7A5K, 7L08, 7L20, 7O9K, 7O9M, 7ODR, 7ODS, 7ODT, 7OF0, 7OF2, 7OF3, 7OF4, 7OF5, 7OF6, 7OF7, 7OG4, 7OI6, 7OI7, 7OI8, 7OI9, 7OIA, 7OIB, 7OIC, 7OID, 7OIE, 7PD3, 7PO4, 7QH6, 7QH7, 7QI4, 7QI5, 7QI6, 8ANY, 8K2A, 8K2B, 8OIR, 8OIT, 8PK0, 8QSJ, 8QU5, 8XT0, 8XT1, 8XT2, 8XT3"
MRPS12,MRPL47,O15235,Q9HD33,"3J9M, 6NU2, 6NU3, 6RW4, 6RW5, 6VLZ, 6VMI, 6ZM5, 6ZM6, 6ZS9, 6ZSA, 6ZSB, 6ZSC, 6ZSD, 6ZSE, 6ZSG, 7A5F, 7A5G, 7A5I, 7A5K, 7L08, 7OG4, 7P2E, 7PNX, 7PNY, 7PNZ, 7PO0, 7PO1, 7PO2, 7PO3, 7QI4, 7QI5, 7QI6, 8ANY, 8CSP, 8CSQ, 8CSR, 8CSS, 8CST, 8CSU, 8K2A, 8OIR, 8OIS, 8QRK, 8QRL, 8QRM, 8QRN, 8XT0, 8XT2","3J7Y, 3J9M, 5OOL, 5OOM, 6I9R, 6NU2, 6NU3, 6VLZ, 6VMI, 6ZM5, 6ZM6, 6ZS9, 6ZSA, 6ZSB, 6ZSC, 6ZSD, 6ZSE, 6ZSG, 7A5F, 7A5G, 7A5H, 7A5I, 7A5J, 7A5K, 7L08, 7L20, 7O9K, 7O9M, 7ODR, 7ODS, 7ODT, 7OF0, 7OF2, 7OF3, 7OF4, 7OF5, 7OF6, 7OF7, 7OG4, 7OI6, 7OI7, 7OI8, 7OI9, 7OIA, 7OIB, 7OIC, 7OID, 7OIE, 7PD3, 7PO4, 7QH6, 7QH7, 7QI4, 7QI5, 7QI6, 8ANY, 8K2A, 8K2B, 8OIR, 8OIT, 8PK0, 8QSJ, 8QU1, 8QU5, 8XT0, 8XT1, 8XT2, 8XT3"
YWHAB,YWHAZ,P31946,P63104,"2BQ0, 2C23, 4DNK, 5N10, 6A5Q, 6BYK, 6GN0, 6GN8, 6GNJ, 6GNK, 6GNN, 6HEP, 6YGJ, 8DP5, 8EQ8, 8EQH","1IB1, 1QJA, 1QJB, 2C1J, 2C1N, 2O02, 2WH0, 3CU8, 3NKX, 3RDH, 4BG6, 4FJ3, 4HKC, 4IHL, 4N7G, 4N7Y, 4N84, 4WRQ, 4ZDR, 5D2D, 5D3F, 5EWZ, 5EXA, 5J31, 5JM4, 5M35, 5M36, 5M37, 5NAS, 5ULO, 5WXN, 5XY9, 6EF5, 6EJL, 6EWW, 6F08, 6F09, 6FN9, 6FNA, 6FNB, 6FNC, 6Q0K, 6RLZ, 6U2H, 6XAG, 6YMO, 6YO8, 6YOS, 6ZFD, 6ZFG, 7D8H, 7D8P, 7D9V, 7MFD, 7MFE, 7MFF, 7Q16, 7ZIT, 8A9G, 8AH2, 8P1H, 8QDV, 8WE2, 8WF6, 9FUM, 9FVL"
MRPL2,MRPL49,Q5T653,Q13405,"3J7Y, 3J9M, 5OOL, 5OOM, 6I9R, 6NU2, 6NU3, 6VLZ, 6VMI, 6ZM5, 6ZM6, 6ZS9, 6ZSA, 6ZSB, 6ZSC, 6ZSD, 6ZSE, 6ZSG, 7A5F, 7A5G, 7A5H, 7A5I, 7A5J, 7A5K, 7L08, 7L20, 7O9K, 7O9M, 7ODR, 7ODS, 7ODT, 7OF0, 7OF2, 7OF3, 7OF4, 7OF5, 7OF6, 7OF7, 7OG4, 7OI6, 7OI7, 7OI8, 7OI9, 7OIA, 7OIB, 7OIC, 7OID, 7OIE, 7PD3, 7PO4, 7QH6, 7QH7, 7QI4, 7QI5, 7QI6, 8ANY, 8K2A, 8K2B, 8OIR, 8OIT, 8PK0, 8QSJ, 8QU1, 8QU5, 8XT0, 8XT1, 8XT2, 8XT3","3J7Y, 3J9M, 5OOL, 5OOM, 6I9R, 6NU2, 6NU3, 6VLZ, 6VMI, 6ZM5, 6ZM6, 6ZS9, 6ZSA, 6ZSB, 6ZSC, 6ZSD, 6ZSE, 6ZSG, 7A5F, 7A5G, 7A5H, 7A5I, 7A5J, 7A5K, 7L08, 7L20, 7O9K, 7O9M, 7ODR, 7ODS, 7ODT, 7OF0, 7OF2, 7OF3, 7OF4, 7OF5, 7OF6, 7OF7, 7OG4, 7OI6, 7OI7, 7OI8, 7OI9, 7OIA, 7OIB, 7OIC, 7OID, 7OIE, 7PD3, 7PO4, 7QH6, 7QH7, 7QI4, 7QI5, 7QI6, 8ANY, 8K2A, 8K2B, 8OIR, 8OIT, 8PK0, 8QSJ, 8QU5, 8XT0, 8XT1, 8XT2, 8XT3"
NDUFV2,NDUFAF2,P19404,Q8N183,"5XTB, 5XTD, 5XTH, 5XTI",No 3D Structure
IFNAR1,IFNGR1,P33896,P15260,3WCY,"1FG9, 1FYH, 1JRH, 6E3K, 6E3L"
CSF2RB,JAK2,P32927,O60674,"1C8P, 1EGJ, 1GH7, 2GYS, 2NA8, 2NA9, 4NKQ, 5DWU, 6NMY, 8TLD","2B7A, 2W1I, 2XA4, 3E62, 3E63, 3E64, 3FUP, 3IO7, 3IOK, 3JY9, 3KCK, 3KRR, 3LPB, 3Q32, 3RVG, 3TJC, 3TJD, 3UGC, 3ZMM, 4AQC, 4BBE, 4BBF, 4C61, 4C62, 4D0W, 4D0X, 4D1S, 4E4M, 4E6D, 4E6Q, 4F08, 4F09, 4FVP, 4FVQ, 4FVR, 4GFM, 4GMY, 4HGE, 4IVA, 4JI9, 4JIA, 4P7E, 4YTC, 4YTF, 4YTH, 4YTI, 4Z32, 4ZIM, 5AEP, 5CF4, 5CF5, 5CF6, 5CF8, 5HEZ, 5I4N, 5L3A, 5TQ3, 5TQ4, 5TQ5, 5TQ6, 5TQ7, 5TQ8, 5USY, 5USZ, 5UT0, 5UT1, 5UT2, 5UT3, 5UT4, 5UT5, 5UT6, 5WEV, 5WIJ, 5WIK, 5WIL, 5WIM, 5WIN, 6AAJ, 6BBV, 6BRW, 6BS0, 6BSS, 6D2I, 6DRW, 6E2P, 6E2Q, 6G3C, 6M9H, 6OAV, 6OBB, 6OBF, 6OBL, 6OCC, 6TPD, 6VGL, 6VN8, 6VNB, 6VNC, 6VNE, 6VNF, 6VNG, 6VNH, 6VNI, 6VNJ, 6VNK, 6VNL, 6VNM, 6VS3, 6VSN, 6WTN, 6WTO, 6WTP, 6WTQ, 6X8E, 6XJK, 7F7W, 7JYO, 7JYQ, 7LL4, 7LL5, 7Q7I, 7Q7K, 7Q7L, 7Q7W, 7REE, 7RN6, 7SZW, 7T0P, 7T1T, 7TEU, 7UYW, 8B8N, 8B8U, 8B99, 8B9E, 8B9H, 8BA2, 8BA3, 8BA4, 8BAB, 8BAK, 8BM2, 8BPV, 8BPW, 8BX6, 8BX9, 8BXC, 8BXH, 8C08, 8C09, 8C0A, 8CZ9, 8EX0, 8EX1, 8EX2, 8EXK, 8EYA, 8EYB, 8F88, 8G6Z, 8G8O, 8G8X"
PARK7,HSPA9,Q5XJ36,P38646,No 3D Structure,"3N8E, 4KBO, 6NHK, 6P2U, 6PMT, 9BLS, 9BLT, 9BLU"
BOLA1,GLRX3,Q682I1,Q5XJ54,4PUG,No 3D Structure
PLAA,VCP,Q9Y263,P42660,"2K89, 2K8A, 2K8B, 2K8C, 3EBB",No 3D Structure
CCL3L1,CCR3,P16619,P51677,No 3D Structure,7X9Y
FMR1,FXR1,Q06787,P51114,"2BKD, 2FMR, 2LA5, 2QND, 4OVA, 4QVZ, 4QW2, 5DE5, 5DE8, 5DEA, 5UWJ, 5UWO","2CPQ, 3KUF, 3O8V"
TARDBP,ATXN2,Q13148,O70305,"1WF0, 2CQG, 2N2C, 2N3X, 2N4G, 2N4H, 2N4P, 4BS2, 4IUF, 4Y00, 4Y0F, 5MDI, 5MRG, 5W50, 5W52, 5W7V, 5WHN, 5WHP, 5WIA, 5WIQ, 5WKB, 5WKD, 5X4F, 6B1G, 6CF4, 6CFH, 6N37, 6N3A, 6N3B, 6N3C, 6T4B, 7KWZ, 7N9H, 7PY2, 7Q3U, 8A6I, 8CG3, 8CGG, 8CGH, 8QX9, 8QXA, 8QXB, 9FOF, 9FOR",No 3D Structure
MRPL41,MRPS9,Q8IXM3,P82933,"3J7Y, 3J9M, 5OOL, 5OOM, 6I9R, 6NU2, 6NU3, 6VLZ, 6VMI, 6ZM5, 6ZM6, 6ZS9, 6ZSA, 6ZSB, 6ZSC, 6ZSD, 6ZSE, 6ZSG, 7A5F, 7A5G, 7A5H, 7A5I, 7A5J, 7A5K, 7L08, 7L20, 7O9K, 7O9M, 7ODR, 7ODS, 7ODT, 7OF0, 7OF2, 7OF3, 7OF4, 7OF5, 7OF6, 7OF7, 7OG4, 7OI6, 7OI7, 7OI8, 7OI9, 7OIA, 7OIB, 7OIC, 7OID, 7OIE, 7PD3, 7PO4, 7QH6, 7QH7, 7QI4, 7QI5, 7QI6, 8ANY, 8K2A, 8K2B, 8OIR, 8OIT, 8PK0, 8QSJ, 8QU5, 8XT0, 8XT1, 8XT2, 8XT3","3J9M, 6NU2, 6NU3, 6RW4, 6RW5, 6VLZ, 6VMI, 6ZM5, 6ZM6, 6ZS9, 6ZSA, 6ZSB, 6ZSC, 6ZSD, 6ZSE, 6ZSG, 7A5F, 7A5G, 7A5I, 7A5K, 7L08, 7OG4, 7P2E, 7PNX, 7PNY, 7PNZ, 7PO0, 7PO1, 7PO2, 7PO3, 7QI4, 7QI5, 7QI6, 8ANY, 8CSP, 8CSQ, 8CSR, 8CSS, 8CST, 8CSU, 8K2A, 8OIR, 8OIS, 8QRK, 8QRL, 8QRM, 8QRN, 8XT0, 8XT2"
